Optimizer,N_runs,Best_MAE_Median_um,Best_MAE_Mean_um,Best_MAE_Std_um,Final_MAE_Median_um,Final_MAE_Mean_um,Final_MAE_Std_um,RMSE_Median_um,RMSE_Mean_um,RMSE_Std_um,Improvement_Best_Median_pct,Improvement_Best_Mean_pct,Improvement_Best_Std_pct,Improvement_Final_Median_pct,Improvement_Final_Mean_pct,Improvement_Final_Std_pct,Steps_to_Target_Median,Steps_to_Target_Mean,Steps_to_Target_Std,Success_Rate_pct
Nelder-Mead,10,67.13416223647073,67.13416223647073,0.0,67.83736171200871,67.83736171200871,0.0,229.2040724284056,229.2040724284056,2.710505431213761e-14,83.73903807830716,83.73903807830717,1.4210854715202004e-14,83.56871198032442,83.56871198032442,0.0,,,,0.0
BO (zero mean),10,45.88232150126714,46.206747902033385,14.695264180731568,147.96082541575,153.29114103221457,66.65921583207202,844.6351026138381,822.1938170380955,118.14448240755048,88.88657193363085,88.80799069907741,3.5594267257017735,64.1615346369706,62.870447411295075,16.145922348106318,82.5,82.5,5.5,20.0
BO_prior (mismatched),10,6.713196853525005,6.486527581728296,1.1087911699903186,40.538930988986976,41.710450568643864,16.990005314514548,219.89618363376923,240.16284798985356,65.57804620559465,98.37395694276356,98.42885984576728,0.2685668576724569,90.18082610704064,89.8970654307963,4.1152495281842345,10.5,10.8,4.874423042781577,100.0
BO_prior (matched),10,5.749554475187324,5.894614878343418,1.055922493925379,42.595482227625325,42.087534529855475,16.89878228372337,177.56800682130196,173.10991195695556,19.33591949159997,98.60736645437828,98.57223051742031,0.25576122340663554,89.68269668578242,89.8057296975381,4.093153859143905,4.0,3.6,1.2806248474865698,100.0
